Rank,Country,"Age-standardized rate per 100,000 women"
1,Belgium,113.2
2,Luxembourg,109.3
3,Netherlands,105.9
4,France (metropolitan),99.1
5,New Caledonia (France),98
6,Lebanon,97.6
7,Australia,94.5
8,UK,93.6
9,Italy,92.8
10,New Zealand,92.6
11,Ireland,90.3
12,Sweden,89.8
13,Finland,89.5
14,Denmark,88.8
15,Switzerland,88.1
16,Montenegro,87.8
17,Malta,87.6
18,Norway,87.5
19,Hungary,85.5
20,Germany,85.4
21,Iceland,85.2
22,US,84.9
23,Canada,83.8
24,Cyprus,81.7
25,Samoa,80.1